White,Blanco,The color of snow and milk.,The snow is white.,I like white flowers.
Orange,Naranja,The color of oranges and sunsets.,The sunset is orange.,Oranges are orange.
Violet,Violeta,The color of violets and lavender.,The flowers are violet.,She wore a violet dress.
Purple,Púrpura,A color between blue and red.,The sky turned purple at sunset.,I like purple grapes.
Golden,Dorado,The color of gold.,The ring is golden.,We saw a golden sunset.
Silver,Plateado,The color of silver.,The necklace is silver.,I like silver jewelry.
Navy,Marino,A dark shade of blue.,He wore a navy suit.,The navy blue car is mine.
Brown,Marrón,The color of chocolate and coffee.,The dog is brown.,I like brown bread.
Gray,Gris,The color of ashes and clouds.,The sky is gray today.,She has gray hair.
Pink,Rosa,The color of cotton candy and flowers.,The dress is pink.,I like pink roses.
Olive,Oliva,A dark yellowish-green color.,The olive tree is beautiful.,She wore an olive jacket.
Father,Padre,A male parent.,My father is very kind.,I visit my father every weekend.
Mother,Madre,A female parent.,My mother cooks delicious meals.,I call my mother every day.
Brother,Hermano,A male sibling.,My brother is very funny.,I play video games with my brother.
Sister,Hermana,A female sibling.,My sister is very talented.,I go shopping with my sister.
Sibling,Hermano/a,A brother or sister.,My sibling is my best friend.,I have two siblings: one brother and one sister.
Grandfather,Abuelo,The father of one's parent.,My grandfather is very wise.,I love listening to my grandfather's stories.
Grandmother,Abuela,The mother of one's parent.,My grandmother is very caring.,I enjoy baking with my grandmother.
Uncle,Tío,The brother of one's parent.,My uncle is very funny.,I love playing soccer with my uncle.
Aunt,Tía,The sister of one's parent.,My aunt is very supportive.,I enjoy going to the movies with my aunt.
Cousin,Primo/a,The child of one's uncle or aunt.,My cousin is very friendly.,I often play with my cousin on weekends.
Nephew,Sobrino,The son of one's sibling.,My nephew is very energetic.,I like to take my nephew to the park.
Niece,Sobrina,The daughter of one's sibling.,My niece is very creative.,I enjoy reading stories to my niece.
Son,Hijo,A male child of one's parent.,My son is very curious.,I take my son to school every day.
Daughter,Hija,A female child of one's parent.,My daughter is very intelligent.,I love spending time with my daughter.
Parent,Padre/Madre,A mother or father.,My parent is my role model.,I appreciate everything my parent does for me.
Child,Hijo/a,A son or daughter.,My child is my greatest joy.,I always support my child in their dreams.
Spouse,Cónyuge,A husband or wife.,My spouse is my best friend.,I enjoy traveling with my spouse.
Family,Familia,A group of related people.,My family is very important to me.,We have family gatherings every holiday.
Relatives,Parientes,People related by blood or marriage.,I visit my relatives during the holidays.,My relatives live in different cities.
Please,Por favor,A polite way to ask for something.,Could you please help me?,Please pass the salt.
Thank you,Gracias,A polite expression of gratitude.,Thank you for your help.,I want to say thank you to everyone.
Dog,Perro,An animal that lives with people and is friendly and loyal.,My dog loves to play fetch.,I take my dog for a walk every morning.
Cat,Gato,An animal that lives with people and likes to be alone.,My cat enjoys sleeping in the sun.,I like to play with my cat using a laser pointer.
Teacher,Profesor/a,A person who helps others learn.,My teacher is very kind.,I ask my teacher questions when I don't understand.
Student,Estudiante,A person who is learning.,I am a student at the local high school.,The students are studying for their exams.
Friend,Amigo/a,A person you like and trust.,My friend and I go to the park together.,I can always count on my friend.
Flower,Flor,A colorful plant often given as a gift.,I received a beautiful flower for my birthday.,Flowers are a great way to brighten someone's day.
Watch,Reloj,A device used to tell time.,I bought a new watch yesterday.,My watch is always accurate.
Anger,Enojo,A strong feeling of displeasure.,He felt a surge of anger when he heard the news.,It's important to manage your anger in a healthy way.
Food,Comida,Something people or animals eat to live and be healthy.,I love trying new types of food.,Healthy food is essential for a good life.
Water,Agua,"A clear, colorless liquid essential for life.",I drink plenty of water every day.,Water is important for staying hydrated.
House,Casa,A building where people live.,My house is my sanctuary.,We painted the house last summer.
Car,Coche,A vehicle used for transportation.,I drive my car to work every day.,My car needs an oil change.
Time,Tiempo,The ongoing sequence of events taking place.,Time flies when you're having fun.,I need to manage my time better.
Wardrobe,Armario,A piece of furniture used for storing clothes.,I keep my clothes organized in the wardrobe.,The wardrobe is made of wood.
Shirts,Camisas,Clothes we wear on the top part of our body.,I have several shirts in my wardrobe.,He wore a blue shirt to the party.
Firemen,Bomberos,People who are trained to extinguish fires.,The firemen arrived quickly to put out the fire.,Firemen risk their lives to save others.
Pillow,Almohada,A soft object used to support the head while sleeping.,I like to sleep with a soft pillow.,My pillow is very comfortable.
Tables,Mesas,"Furniture with a flat top and legs, used for eating or working.",We eat dinner at the dining tables.,The tables in the classroom are arranged in rows.
Chairs,Sillas,Pieces of furniture designed for sitting.,There are four chairs around the kitchen table.,I bought new chairs for the living room.
Idea,Idea,A thought or suggestion about a possible course of action.,I have a great idea for our project.,Sharing ideas can lead to innovation.
Love,Amor,A deep feeling of affection and care.,Love is an important part of life.,They expressed their love for each other.
Anxiety,Ansiedad,A feeling of worry or fear.,She felt a wave of anxiety before the exam.,Managing anxiety is important for mental health.
Moon,Luna,"The natural satellite of the Earth, visible at night.",The moon shines brightly in the night sky.,We watched the full moon together.
Feet,Pies,The lower extremities of the legs.,My feet are tired after a long day of walking.,She bought new shoes for her feet.
Sky,Cielo,The expanse of air over the Earth.,The sky is clear and blue today.,Birds fly high in the sky.
Oceans,Océanos,Large bodies of saltwater that cover most of the Earth's surface.,The oceans are home to many marine species.,We went sailing on the oceans last summer.
Coat,Abrigo,A warm piece of clothing we wear over other clothes.,I wear a warm coat in the winter.,Her coat has a hood to protect against rain.
Legs,Piernas,The parts of the body we use to stand and walk.,He ran fast using his strong legs.,She injured her legs while playing soccer.
Gift,Regalo,Something given to someone without expecting anything in return.,I bought a gift for my friend's birthday.,Giving a gift can show appreciation.
Earth,Tierra,"The third planet from the Sun, home to all known life.",We live on planet Earth.,Protecting the Earth is important for future generations.
Hope,Esperanza,A feeling that something good will happen.,I have hope for a better future.,Hope can keep us motivated during difficult times.
Hate,Odio,A strong feeling of dislike.,I hate waiting in long lines.,She expressed her hate for injustice.
Bet,Apuesta,To say you think something will happen and risk money or something else on it.,I made a bet with my friend on the game.,They lost the bet and had to buy dinner.
Attention,Atención,The act of focusing on something.,Please pay attention to the instructions.,The teacher called for the students' attention.
Speech,Discurso,Talking in front of people to share ideas or feelings.,He gave a powerful speech at the conference.,The president's speech inspired the audience.
Trick,Truco,Something done to fool or surprise someone.,The magician performed an amazing trick.,Don't fall for that trick again.
Event,Evento,"An occurrence or happening, often of significance.",The concert was a memorable event.,We are planning a special event for the holidays.
Kisses,Besos,When you touch someone with your lips to show love or care.,She gave her mother kisses before leaving.,They exchanged kisses after the wedding ceremony.
Pain,Dolor,A bad feeling in your body when you are hurt or sick.,He felt a sharp pain in his leg.,The pain from the injury lasted for weeks.
Answer,Respuesta,A response to a question or situation.,I gave the correct answer to the question.,She didn't know the answer to the question.
Question,Pregunta,Something you ask to get information.,She asked a question about the homework.,I have a question regarding the schedule.
Meeting,Reunión,When people come together to talk or decide something.,We have a meeting scheduled for tomorrow.,The team held a meeting to discuss the project.
Farewell,Despedida,An act of saying goodbye.,We had a farewell party for our colleague.,She gave a heartfelt farewell speech.
Mom,Mamá,A female parent.,My mom makes the best cookies.,I love spending time with my mom.
Dad,Papá,A male parent.,My dad is very hardworking.,I enjoy fishing trips with my dad.
Pet,Mascota,An animal you keep at home for fun or company.,I have a pet dog named Rex.,Taking care of a pet teaches responsibility.
Party,Fiesta,"A time when people meet to have fun, eat, or dance.",We are throwing a birthday party for my sister.,The party was filled with music and dancing.
Message,Mensaje,Words you send or give to another person.,I received a message from my friend yesterday.,Please leave me a message if I am not home.
Materials,Materiales,Things used to make or build something.,The project requires various materials like wood and paint.,We need to gather all the materials before starting the construction.
Address,Dirección,The location of a person or organization.,Please write down your address for the delivery.,I moved to a new address last month.
Purse,Monedero,A small bag used to carry money and personal items.,She always carries a stylish purse.,I found a purse on the bench and returned it to the owner.
Shoes,Zapatos,Things you wear on your feet to protect them.,I bought a new pair of shoes for the event.,His shoes were muddy after the hike.
Game,Juego,Something you do for fun or competition.,We played a board game last night.,The video game was very exciting.
Neighbor,Vecino,A person who lives near your house.,Our neighbor is very friendly and helpful.,I borrowed sugar from my neighbor yesterday.
Rest,Descanso,A period of time spent doing nothing or sleeping.,"After a long day, I need some rest.",Taking a short rest can improve productivity.
Sad,Triste,Feeling unhappy or not good.,She felt sad after hearing the bad news.,The movie had a sad ending.
Play,Jugar,"To do something for fun, not for work.",The children love to play in the park.,We often play soccer on weekends.
Kind,Amable,Friendly and nice to other people.,She is very kind to everyone she meets.,It was kind of you to help me with my homework.
Awake,Despierto,Not sleeping; open eyes and alert.,I was awake all night studying for the exam.,The loud noise kept me awake.
Tired,Cansado,In need of sleep or rest; weary.,"After the long hike, I felt very tired.",She looked tired in the morning.
Mirror,Espejo,A thing made of glass where you can see your reflection.,I checked myself in the mirror before leaving the house.,The mirror in the hallway is very decorative.
